model,top_k,kernel_size,clean_acc,occlusion_acc,success_rate
Standard,3,3,99.0,60.9,38.1
Standard,5,3,99.0,47.36,51.64
Standard,7,3,99.0,36.28,62.72
Standard,9,3,99.0,28.74,70.26
Occlusion-AT,3,3,95.68,97.8,-2.1199999999999903
Occlusion-AT,5,3,95.68,97.7,-2.019999999999996
Occlusion-AT,7,3,95.68,97.48,-1.7999999999999972
Occlusion-AT,9,3,95.68,97.4,-1.7199999999999989
PGD-AT,3,3,99.36,74.5,24.86
PGD-AT,5,3,99.36,64.58,34.78
PGD-AT,7,3,99.36,56.24,43.12
PGD-AT,9,3,99.36,49.24,50.12
FGSM-AT,3,3,99.24,80.78,18.459999999999994
FGSM-AT,5,3,99.24,71.04,28.19999999999999
FGSM-AT,7,3,99.24,61.62,37.62
FGSM-AT,9,3,99.24,54.16,45.08
Mix-AT,3,3,98.46,93.12,5.339999999999989
Mix-AT,5,3,98.46,90.18,8.279999999999987
Mix-AT,7,3,98.46,87.36,11.099999999999994
Mix-AT,9,3,98.46,84.68,13.779999999999987
